ID,Player,Team,Position,RkOv,Status,Opponent,FPts,FP/G,%D,ADP,Ros %
*067yv*,Cody Gakpo,LIV,F,114,FA,@CHE Sun 11:30AM,206.5,9.83,100%,29.96,100%
*02lpn*,Eric Dier,TOT,D,115,FA,@BRF Sun 9:00AM,205.25,6.22,10%,299.88,0%
*061ve*,Ryan Christie,BOU,M,116,FA,WHU Sat 10:00AM,204,6.38,9%,337.35,0%
*063e3*,Neto,BOU,G,117,FA,WHU Sat 10:00AM,203.25,7.53,6%,350.54,0%
*043c1*,Oleksandr Zinchenko,ARS,D,118,FA,NOT Sat 7:30AM,201.75,7.47,100%,71.4,100%
*0558w*,William Saliba,ARS,D,119,FA,NOT Sat 7:30AM,200,7.41,99%,74.07,100%
*04e1c*,Lewis Dunk,BHA,D,120,FA,LUT Sat 10:00AM,199.25,5.53,48%,131.16,100%
*04ug0*,Sean Longstaff,NEW,M,121,FA,AVL Sat 12:30PM,197.5,5.98,1%,1072,0%
*05akv*,Tyrick Mitchell,CRY,D,122,FA,@SHU Sat 10:00AM,197,5.47,4%,373.2,0%
*05ylw*,Rodrigo Bentancur,TOT,M,123,FA,@BRF Sun 9:00AM,194.75,10.82,27%,149.46,100%
*05ybq*,Vitalii Mykolenko,EVE,D,124,FA,FUL Sat 10:00AM,194.75,5.73,10%,312.44,0%
*05tre*,Vitaly Janelt,BRF,M,125,FA,TOT Sun 9:00AM,194.25,5.55,1%,1111.67,0%
*03ena*,Aaron Cresswell,WHU,D,126,FA,@BOU Sat 10:00AM,192.25,6.87,29%,150.3,100%
*052cd*,Mason Mount,MUN,M,127,FA,WOL Mon 3:00PM,192.25,8.01,100%,27.17,100%
*04rd0*,Bobby De Cordova-Reid,FUL,F,128,FA,@EVE Sat 10:00AM,191.5,5.32,9%,314.92,0%
*05nt7*,Thiago Silva,CHE,D,129,FA,LIV Sun 11:30AM,190.25,7.05,71%,126.52,100%
*03dxq*,Danny Ings,WHU,F,130,FA,@BOU Sat 10:00AM,189.75,5.42,24%,152.19,0%
*05uor*,Yoane Wissa,BRF,F,131,FA,TOT Sun 9:00AM,188.5,4.96,68%,128.16,100%
*05tr8*,Christian Norgaard,BRF,M,132,FA,TOT Sun 9:00AM,188,8.55,10%,310.76,0%
*04qr8*,Diogo Jota,LIV,F,133,FA,@CHE Sun 11:30AM,185.5,8.43,100%,55.55,100%
*05uoc*,Cristian Romero,TOT,D,134,FA,@BRF Sun 9:00AM,185.25,6.86,41%,136.9,0%
*04rhc*,Vicente Guaita,CRY,G,135,FA,@SHU Sat 10:00AM,184.5,6.83,1%,1156,0%
*062pl*,Lisandro Martinez,MUN,D,136,FA,WOL Mon 3:00PM,183.75,6.81,97%,97.72,100%
*052ca*,Ezri Konsa,AVL,D,137,FA,@NEW Sat 12:30PM,181.5,4.78,9%,318.2,0%
*051k8*,Conor Gallagher,CHE,M,138,FA,LIV Sun 11:30AM,180.75,5.16,64%,132.18,100%
*03yu2*,Abdoulaye Doucoure,EVE,M,139,FA,FUL Sat 10:00AM,180.25,7.21,49%,139.12,100%
*03vll*,Michail Antonio,WHU,F,140,FA,@BOU Sat 10:00AM,178.5,5.41,38%,143.75,100%
*0329y*,Joel Ward,CRY,D,141,FA,@SHU Sat 10:00AM,177.75,6.35,3%,402.79,0%
*04rzl*,Taiwo Awoniyi,NOT,F,142,FA,@ARS Sat 7:30AM,176.5,6.54,59%,129.98,100%
*04kj7*,Serge Aurier,NOT,D,143,FA,@ARS Sat 7:30AM,176.25,7.34,29%,152.27,0%
*0687b*,Alex Moreno,AVL,D,144,FA,@NEW Sat 12:30PM,174,9.16,99%,81,100%
*04qqv*,Fred,MUN,M,145,FA,WOL Mon 3:00PM,170.25,4.86,4%,373.25,0%
*02m6x*,Tim Ream,FUL,D,146,FA,@EVE Sat 10:00AM,169.5,5.14,5%,358.73,0%
*05opk*,Vladimir Coufal,WHU,D,147,FA,@BOU Sat 10:00AM,169.25,6.27,16%,253.9,100%
*04xjr*,Harvey Elliott,LIV,M,148,FA,@CHE Sun 11:30AM,169,5.28,14%,262.65,0%
*04adp*,Aaron Wan-Bissaka,MUN,D,149,FA,WOL Mon 3:00PM,167.25,8.8,90%,112.59,100%
*0570n*,Joao Cancelo,MCI,D,150,W (Mon),@BUR Fri 3:00PM,167,9.82,79%,111.35,100%
*04s8k*,Jorginho,ARS,M,151,FA,NOT Sat 7:30AM,167,5.22,9%,298.5,0%
*02w72*,Hugo Lloris,TOT,G,152,FA,@BRF Sun 9:00AM,166,6.64,1%,1129,0%
*05w9m*,Emerson Royal,TOT,D,153,FA,@BRF Sun 9:00AM,165.75,6.38,23%,167.15,0%
*03arh*,Kurt Zouma,WHU,D,154,FA,@BOU Sat 10:00AM,164,6.56,14%,265.65,0%
*068lx*,Dango Ouattara,BOU,F,155,FA,WHU Sat 10:00AM,162.5,8.55,59%,123.89,100%
*04mdn*,Anthony Gordon,NEW,F,156,FA,AVL Sat 12:30PM,161.75,5.05,62%,131.14,100%
*05w9q*,Odsonne Edouard,CRY,F,157,FA,@SHU Sat 10:00AM,160.25,4.58,10%,310.18,0%
*02lny*,Ashley Young,EVE,D,158,FA,FUL Sat 10:00AM,160,5.52,9%,322.05,0%
*05mxa*,Joel Veltman,BHA,D,159,FA,LUT Sat 10:00AM,159.25,5.14,17%,235.59,100%
*05ojg*,Nelson Semedo,WOL,D,160,FA,@MUN Mon 3:00PM,159,4.42,9%,335.14,0%
*05n07*,Pedro Porro,TOT,D,161,FA,@BRF Sun 9:00AM,158.5,10.57,100%,47.51,100%
*05a6e*,Neco Williams,NOT,D,162,FA,@ARS Sat 7:30AM,157.25,5.07,21%,198.13,100%
*03v6t*,Ben Chilwell,CHE,D,163,FA,LIV Sun 11:30AM,155.75,6.77,100%,47.89,100%
*063e7*,Marcos Senesi,BOU,D,164,FA,WHU Sat 10:00AM,152.5,4.92,2%,388.3,0%
*051lc*,Pablo Fornals,WHU,M,165,FA,@BOU Sat 10:00AM,151.75,4.74,3%,386.33,0%
